step,loss,acc,gnorm,lr,n_tok
1,7.361490249633789,0.0009970089886337519,516.0,5.999999999999999e-06,2006
2,6.910719871520996,0.04479917511343956,490.0,1.194e-05,1942
3,6.302030563354492,0.17700454592704773,424.0,1.7879999999999998e-05,1983
4,5.815075874328613,0.1555740386247635,304.0,2.382e-05,1202
5,5.144464492797852,0.17928571999073029,196.0,2.9759999999999996e-05,1400
6,4.869743347167969,0.19346939027309418,157.0,3.57e-05,1225
7,5.130570888519287,0.15203426778316498,123.0,4.163999999999999e-05,1401
8,4.926564693450928,0.17831753194332123,98.5,4.7579999999999995e-05,1688
9,4.522109031677246,0.23151908814907074,86.5,5.351999999999999e-05,1231
10,5.054720878601074,0.15793529152870178,83.0,5.945999999999999e-05,1298
11,4.410307884216309,0.21741510927677155,52.5,6.539999999999999e-05,1826
12,4.599579811096191,0.20285262167453766,55.0,7.133999999999999e-05,1262
13,4.832382678985596,0.18736842274665833,94.5,7.727999999999999e-05,475
14,4.380307674407959,0.1949085146188736,53.75,8.321999999999999e-05,1257
15,3.969749927520752,0.2556776702404022,37.25,8.916e-05,1365
16,4.000594615936279,0.2503346800804138,39.25,9.51e-05,1494
17,4.19014835357666,0.20194464921951294,42.5,0.00010103999999999998,1337
18,4.677680492401123,0.17447306215763092,34.5,0.00010697999999999998,1708
19,4.55277156829834,0.1963076889514923,29.5,0.00011292,1625
20,3.9003400802612305,0.2589820325374603,26.125,0.00011885999999999998,1336
21,4.020804405212402,0.2359723299741745,27.5,0.0001248,1301
22,3.7564010620117188,0.2690476179122925,33.5,0.00013073999999999998,1260
23,4.284162521362305,0.21884199976921082,23.125,0.00013668,2038
24,3.923511028289795,0.26925525069236755,18.25,0.00014261999999999999,1571
25,3.4318976402282715,0.3229018449783325,21.375,0.00014855999999999997,1406
26,3.8922221660614014,0.2600334584712982,26.0,0.0001545,1196
27,4.336969375610352,0.1696721315383911,37.0,0.00016043999999999997,1220
28,3.795609474182129,0.28487804532051086,22.25,0.00016638,2050
29,3.856328010559082,0.24632568657398224,19.25,0.00017232,1701
30,3.5672779083251953,0.272972971200943,25.5,0.00017826,740
31,3.56524658203125,0.2819623351097107,18.25,0.00018419999999999998,2018
32,3.607797861099243,0.27251070737838745,17.5,0.00019014,2099
33,3.2379038333892822,0.30927833914756775,23.75,0.00019607999999999998,1067
34,3.6582887172698975,0.23024830222129822,23.0,0.00020202,1329
35,3.20249342918396,0.2869257926940918,18.625,0.00020795999999999995,1415
36,3.5231943130493164,0.24452555179595947,18.125,0.00021389999999999997,1096
37,3.2527050971984863,0.2974714934825897,22.875,0.00021983999999999998,2017
38,3.3371071815490723,0.2820945978164673,14.6875,0.00022578,1184
39,3.285226583480835,0.2916666567325592,12.625,0.00023171999999999998,1248
40,3.0411670207977295,0.318276584148407,14.0625,0.00023765999999999997,1439
41,2.947017192840576,0.33814433217048645,12.0625,0.00024359999999999999,1455
42,2.8654017448425293,0.3741758167743683,10.5,0.00024953999999999997,1820
43,3.1725687980651855,0.28169935941696167,15.0625,0.00025548,1530
44,2.6152045726776123,0.41370105743408203,13.25,0.00026142,1124
45,3.001293182373047,0.3140161633491516,14.8125,0.00026736,1484
46,2.674372434616089,0.39631107449531555,12.375,0.0002733,2006
47,3.047799587249756,0.2871917188167572,15.25,0.00027924,1257
48,2.823762893676758,0.36112433671951294,11.625,0.00028517999999999995,2099
49,2.686479330062866,0.3980432450771332,9.5625,0.00029111999999999996,1942
50,2.6707041263580322,0.3444444537162781,12.1875,0.00029706,1530
51,2.3504626750946045,0.48233562707901,8.875,0.000303,2038
52,2.462939500808716,0.43381258845329285,8.3125,0.00030894,2017
53,2.5286808013916016,0.42037472128868103,9.8125,0.0003148799999999999,1708
54,2.0642459392547607,0.527336835861206,11.625,0.0003208199999999999,1701
55,2.5314671993255615,0.3904682397842407,12.125,0.00032675999999999994,1196
56,2.3837831020355225,0.41885244846343994,12.125,0.00033269999999999996,1220
57,2.486238956451416,0.40463724732398987,11.0,0.00033863999999999997,1337
58,2.553605079650879,0.3842034935951233,16.125,0.00034458,1494
59,2.039419651031494,0.5262869596481323,10.0,0.00035052,1826
60,2.320505142211914,0.43297380208969116,12.5,0.00035645999999999996,1298
61,1.961668610572815,0.5317145586013794,9.3125,0.00036239999999999997,2018
62,1.9241286516189575,0.5292096138000488,11.125,0.00036834,1455
63,2.1720333099365234,0.4660956561565399,10.0,0.00037428,1401
64,2.0549819469451904,0.49326348304748535,9.5625,0.0003802199999999999,1336
65,1.745258092880249,0.5785714387893677,8.6875,0.0003861599999999999,1260
66,1.8785096406936646,0.5469076037406921,9.375,0.00039209999999999994,1439
67,2.0044350624084473,0.500792384147644,10.625,0.00039803999999999995,1262
68,1.9222501516342163,0.5380476713180542,8.6875,0.00040397999999999996,1301
69,2.251235008239746,0.42455482482910156,14.625,0.0004099199999999999,1067
70,1.831322193145752,0.598700225353241,8.375,0.00041586,1231
71,2.2380223274230957,0.4214743673801422,11.5,0.00042179999999999995,1248
72,1.9260135889053345,0.538269579410553,7.75,0.00042774,1202
73,1.7006794214248657,0.581850528717041,7.8125,0.00043368,1124
74,1.791386365890503,0.5510988831520081,10.875,0.00043962,1820
75,1.9023301601409912,0.5278048515319824,10.0,0.00044556,2050
76,1.7982217073440552,0.5116629004478455,10.1875,0.00045149999999999997,1329
77,1.3395971059799194,0.681587815284729,8.3125,0.00045743999999999993,1184
78,1.191449761390686,0.7201465368270874,7.40625,0.00046338,1365
79,1.9686269760131836,0.47304582595825195,10.0625,0.00046931999999999996,1484
80,1.9758549928665161,0.45428571105003357,10.25,0.0004752599999999999,1400
81,2.1452183723449707,0.4736842215061188,13.5,0.0004812,475
82,1.6835107803344727,0.5728834867477417,7.3125,0.00048713999999999995,1571
83,1.6179050207138062,0.5766153931617737,6.8125,0.0004930799999999999,1625
84,1.1157608032226562,0.7198905348777771,7.21875,0.00049902,1096
85,1.0166693925857544,0.7657142877578735,6.28125,0.0005049599999999999,1225
86,1.7547922134399414,0.5256045460700989,10.0,0.0005109,1406
87,1.720762014389038,0.5100710988044739,7.25,0.00051684,1688
88,1.646632432937622,0.5406360626220703,8.4375,0.0005227799999999999,1415
89,1.3232715129852295,0.6527026891708374,9.3125,0.00052872,740
90,1.7944650650024414,0.5027735829353333,9.5625,0.00053466,1983
91,1.1461466550827026,0.6917591094970703,7.8125,0.0005405999999999999,1262
