step,loss,acc,eos_acc,gnorm,lr,n_tok,noise_p
94,3.8597140312194824,0.2151867002248764,0.375,7.125,0.00028220999999999997,11971,0.027899999999999998
95,3.9531853199005127,0.18464542925357819,0.1875,6.375,0.00028517999999999995,19968,0.0282
96,3.771602153778076,0.24550002813339233,0.125,5.5,0.00028815,21389,0.028499999999999998
97,3.8695626258850098,0.19779767096042633,0.0,6.1875,0.00029111999999999996,9717,0.0288
98,3.454702377319336,0.26477912068367004,0.0,5.21875,0.00029409,7629,0.0291
99,3.703148126602173,0.1998443603515625,0.0,4.625,0.00029706,20561,0.0294
100,3.910344362258911,0.17149324715137482,0.0,7.40625,0.00030002999999999996,12811,0.0297
101,3.7420706748962402,0.20748959481716156,0.0,5.46875,0.000303,7210,0.03
102,3.7138867378234863,0.20403805375099182,0.0625,4.46875,0.0003059699999999999,10302,0.0303
103,3.742062568664551,0.20449799299240112,0.125,5.9375,0.00030894,6225,0.030599999999999995
104,3.699498414993286,0.17708580195903778,0.125,6.625,0.00031191,4207,0.030899999999999997
105,3.7133169174194336,0.23205463588237762,0.375,4.6875,0.0003148799999999999,13764,0.0312
106,3.9713175296783447,0.15673528611660004,0.625,4.0625,0.00031785,8307,0.0315
107,3.7520592212677,0.23580442368984222,0.625,5.125,0.0003208199999999999,13948,0.031799999999999995
108,3.5647826194763184,0.24057552218437195,0.75,5.3125,0.00032378999999999996,12441,0.0321
109,4.160317897796631,0.1581340730190277,0.8125,7.34375,0.00032675999999999994,6817,0.0324
110,3.8636271953582764,0.1759105920791626,0.625,5.46875,0.00032973,4832,0.0327
111,3.738295316696167,0.21698349714279175,0.75,6.5,0.00033269999999999996,11941,0.033
112,3.7106099128723145,0.20150133967399597,1.0,3.90625,0.00033567,9325,0.033299999999999996
113,3.688446044921875,0.18855397403240204,0.9375,6.25,0.00033863999999999997,7531,0.0336
114,3.3787240982055664,0.25057148933410645,1.0,8.6875,0.00034161,19248,0.0339
115,3.616713762283325,0.219561368227005,0.875,6.125,0.00034458,20336,0.0342
116,3.5837666988372803,0.2408372163772583,0.75,4.625,0.0003475499999999999,10750,0.0345
117,3.6230340003967285,0.1907334327697754,0.8125,5.03125,0.00035052,14439,0.0348
118,3.686236619949341,0.16914620995521545,1.0,5.84375,0.0003534899999999999,10553,0.0351
119,3.325524091720581,0.29099053144454956,0.4375,5.0,0.00035645999999999996,11832,0.035399999999999994
120,3.3231167793273926,0.2737584412097931,0.3125,4.3125,0.00035942999999999994,6524,0.035699999999999996
121,3.361793041229248,0.3184741735458374,0.125,7.875,0.00036239999999999997,4509,0.036
122,3.5637831687927246,0.2095884531736374,0.75,4.3125,0.00036536999999999995,9428,0.0363
123,3.4454636573791504,0.22312331199645996,0.75,4.3125,0.00036834,9618,0.0366
124,3.3631958961486816,0.23958146572113037,1.0,5.3125,0.00037130999999999997,11182,0.036899999999999995
125,3.202026128768921,0.29300397634506226,0.4375,8.875,0.00037428,5546,0.0372
126,3.3296594619750977,0.2718854546546936,0.625,5.0625,0.00037725,12851,0.0375
127,3.1345534324645996,0.4256366193294525,0.5,7.1875,0.0003802199999999999,16258,0.0378
128,3.495014190673828,0.23433656990528107,0.75,7.53125,0.00038319,13822,0.0381
129,3.3322346210479736,0.23182278871536255,0.5,4.6875,0.0003861599999999999,5914,0.0384
130,3.6136603355407715,0.1888638138771057,0.6875,4.5,0.00038912999999999996,6645,0.0387
131,4.023674964904785,0.20951814949512482,0.4375,6.9375,0.00039209999999999994,8405,0.039
132,3.883965015411377,0.22708411514759064,0.5,6.1875,0.00039506999999999997,7953,0.0393
133,3.224665403366089,0.23836959898471832,0.9375,5.4375,0.00039803999999999995,11629,0.0396
134,3.6966118812561035,0.2215384542942047,0.75,7.21875,0.00040101,5850,0.0399
135,3.0673794746398926,0.3511415123939514,0.625,6.875,0.00040397999999999996,8629,0.0402
136,3.170362710952759,0.2761271297931671,0.875,3.859375,0.00040695,13530,0.0405
137,3.235018730163574,0.26231274008750916,0.75,6.28125,0.0004099199999999999,21360,0.0408
138,3.143449544906616,0.27629315853118896,0.25,6.625,0.00041289,12798,0.041100000000000005
139,3.2564139366149902,0.25995805859565735,0.625,4.9375,0.00041586,6201,0.0414
140,2.910288095474243,0.3339976370334625,0.4375,4.59375,0.0004188299999999999,13548,0.0417
141,2.9798994064331055,0.3150162994861603,0.3125,4.15625,0.00042179999999999995,19945,0.042
142,2.796442747116089,0.40126746892929077,0.5625,4.34375,0.00042477,9941,0.0423
143,2.8955609798431396,0.4194128215312958,0.125,5.03125,0.00042774,10014,0.04259999999999999
144,2.462327480316162,0.4661872386932373,0.5625,6.5,0.00043070999999999995,23778,0.042899999999999994
145,2.995453357696533,0.35856419801712036,0.4375,4.6875,0.00043368,31258,0.043199999999999995
146,3.090402364730835,0.29122501611709595,0.5,5.4375,0.00043665,9151,0.0435
147,3.0160815715789795,0.26867324113845825,0.5625,4.46875,0.00043962,9037,0.0438
148,2.971472978591919,0.33930137753486633,0.125,5.25,0.00044259,7987,0.04409999999999999
149,2.8764736652374268,0.31735020875930786,0.375,3.90625,0.00044556,9948,0.044399999999999995
150,2.4443840980529785,0.42308810353279114,0.375,6.3125,0.00044852999999999994,20660,0.0447
151,2.6252825260162354,0.39840006828308105,0.4375,3.296875,0.00045149999999999997,22751,0.045
152,2.9085893630981445,0.31900283694267273,0.25,3.6875,0.00045447,6699,0.0453
153,2.6396937370300293,0.3783237636089325,0.0,4.4375,0.00045743999999999993,12373,0.045599999999999995
154,2.868711471557617,0.32511210441589355,0.25,3.203125,0.00046040999999999996,7136,0.045899999999999996
155,3.070021390914917,0.33573174476623535,0.3125,4.53125,0.00046338,14732,0.0462
156,2.8953800201416016,0.2854185700416565,0.25,5.75,0.00046635,13044,0.0465
157,3.3980135917663574,0.26901641488075256,0.1875,3.25,0.00046931999999999996,6639,0.0468
158,2.698380708694458,0.32460200786590576,0.25,4.125,0.00047229,10804,0.047099999999999996
159,2.5897598266601562,0.37260982394218445,0.5,3.234375,0.0004752599999999999,13545,0.0474
160,2.569929361343384,0.3853893578052521,0.625,3.34375,0.00047822999999999995,11827,0.0477
161,2.7508187294006348,0.3861140012741089,0.4375,4.1875,0.0004812,12473,0.048
162,2.6554415225982666,0.327369749546051,0.375,2.984375,0.0004841699999999999,9558,0.0483
163,2.3717455863952637,0.48999834060668945,0.3125,4.625,0.00048713999999999995,11998,0.0486
164,2.767832040786743,0.34538349509239197,0.1875,3.625,0.00049011,6141,0.0489
165,2.309705972671509,0.424609512090683,0.375,4.03125,0.0004930799999999999,9411,0.0492
166,2.2542455196380615,0.4608404338359833,0.5,3.640625,0.0004960499999999999,19395,0.0495
167,2.5843636989593506,0.3722565174102783,0.4375,6.4375,0.00049902,16357,0.049800000000000004
168,2.774315118789673,0.33555909991264343,0.0625,4.90625,0.00050199,9435,0.0501
169,2.853523015975952,0.2981117367744446,0.25,4.09375,0.0005049599999999999,7732,0.0504
170,2.7865383625030518,0.30102473497390747,0.5,6.625,0.00050793,20005,0.0507
171,2.8085973262786865,0.3273475468158722,0.5,4.59375,0.0005109,10692,0.051000000000000004
172,2.613621473312378,0.3359052538871765,0.4375,4.96875,0.0005138699999999999,14775,0.051300000000000005
173,2.3586463928222656,0.3940565586090088,0.375,3.796875,0.00051684,13965,0.05159999999999999
174,2.5339860916137695,0.3400857746601105,0.375,2.953125,0.00051981,13526,0.051899999999999995
175,2.3991920948028564,0.42841780185699463,0.3125,3.984375,0.0005227799999999999,21388,0.052199999999999996
176,2.68220591545105,0.3258766233921051,0.625,3.65625,0.00052575,11265,0.0525
177,2.537524700164795,0.35639986395835876,0.125,3.71875,0.00052872,11344,0.05279999999999999
178,2.5273430347442627,0.3113690912723541,0.3125,2.9375,0.0005316899999999999,9561,0.053099999999999994
179,2.2869813442230225,0.4332107901573181,0.125,3.734375,0.00053466,9792,0.053399999999999996
180,2.6386332511901855,0.3450612425804138,0.0625,2.875,0.00053763,7674,0.0537
181,2.414158344268799,0.3346363604068756,0.0625,3.140625,0.0005405999999999999,12279,0.054
182,2.497713088989258,0.3659822642803192,0.0,3.28125,0.00054357,8913,0.054299999999999994
183,2.9148457050323486,0.2641434073448181,0.0,2.640625,0.00054654,12497,0.054599999999999996
184,2.3193490505218506,0.38087305426597595,0.0,2.703125,0.0005495099999999999,12004,0.0549
185,2.2726643085479736,0.4142216145992279,0.125,3.015625,0.0005524799999999999,20279,0.0552
186,2.4608192443847656,0.36184510588645935,0.0625,3.015625,0.00055545,8780,0.0555
187,2.1078126430511475,0.45544862747192383,0.0,3.046875,0.0005584199999999999,19326,0.055799999999999995
188,2.8391830921173096,0.32931002974510193,0.0,2.359375,0.0005613899999999999,5551,0.0561
189,2.3958780765533447,0.41789180040359497,0.0625,3.09375,0.00056436,24011,0.0564
190,2.737677574157715,0.3636569380760193,0.0,5.40625,0.0005673299999999999,4419,0.0567
191,2.7476844787597656,0.29314902424812317,0.5625,2.859375,0.0005702999999999999,9838,0.056999999999999995
192,2.6043860912323,0.34450531005859375,0.3125,2.78125,0.00057327,6206,0.0573
193,2.39986252784729,0.3624083995819092,0.4375,3.921875,0.0005762399999999999,6959,0.0576
194,2.7476000785827637,0.3329397737979889,0.75,2.796875,0.0005792099999999999,10164,0.0579
195,2.138777256011963,0.39104777574539185,0.4375,2.953125,0.00058218,8981,0.0582
196,2.790980577468872,0.31601059436798096,0.4375,3.3125,0.00058515,6427,0.058499999999999996
197,2.159876585006714,0.4590001106262207,0.125,2.984375,0.0005881199999999999,17122,0.0588
198,2.374431610107422,0.4475850462913513,0.0,3.046875,0.00059109,10083,0.0591
199,2.4268040657043457,0.4073241353034973,0.25,4.0625,0.00059406,9339,0.0594
200,2.4000792503356934,0.39721405506134033,0.25,3.21875,0.0005970299999999999,11558,0.0597
201,3.0679192543029785,0.2392057329416275,0.125,3.265625,0.0006,8662,0.06
202,2.3440113067626953,0.39387986063957214,0.25,2.828125,0.0005999999368156857,9673,0.0603
203,2.500059127807617,0.388865202665329,0.375,2.796875,0.0005999997472627706,25793,0.0606
204,2.1513888835906982,0.45794472098350525,0.125,2.265625,0.0005999994313413353,11901,0.0609
205,2.5538692474365234,0.35707488656044006,0.5,2.3125,0.0005999989890515154,7357,0.06119999999999999
206,2.550072193145752,0.4186474680900574,0.1875,2.96875,0.0005999984203935003,5974,0.06149999999999999
207,2.3094089031219482,0.4461214542388916,0.3125,2.90625,0.0005999977253675337,5698,0.061799999999999994
208,2.0947980880737305,0.4557326138019562,0.5625,2.703125,0.0005999969039739133,13554,0.062099999999999995
209,2.2714781761169434,0.3962899148464203,0.4375,2.25,0.0005999959562129908,13369,0.0624
210,2.5701711177825928,0.3198055624961853,0.4375,3.09375,0.0005999948820851724,8846,0.06269999999999999
211,2.3366615772247314,0.3793768882751465,0.375,2.6875,0.000599993681590918,21248,0.063
212,1.8728710412979126,0.5215502977371216,0.3125,2.53125,0.0005999923547307421,18422,0.0633
213,2.335036039352417,0.3751234710216522,0.5625,1.8984375,0.0005999909015052129,11135,0.06359999999999999
214,2.5894083976745605,0.3665473759174347,0.25,2.375,0.000599989321914953,10618,0.0639
215,2.432140350341797,0.32649776339530945,0.3125,2.53125,0.000599987615960639,11801,0.0642
216,2.785299301147461,0.3585977554321289,0.0625,2.390625,0.0005999857836430017,9328,0.0645
217,2.3815643787384033,0.3770945072174072,0.1875,3.765625,0.000599983824962826,6147,0.0648
218,2.281883716583252,0.39740198850631714,0.0,3.171875,0.000599981739920951,8699,0.06509999999999999
