step,loss,acc,eos_acc,gnorm,lr,n_tok
1,7.377356052398682,0.0,0.0,528.0,5.999999999999999e-06,2719
2,7.017020225524902,0.04221995174884796,0.0,480.0,8.969999999999999e-06,2937
3,6.812074661254883,0.09670531004667282,0.0,532.0,1.194e-05,3278
4,6.353156566619873,0.12825194001197815,0.0,452.0,1.4909999999999996e-05,2191
5,6.307899475097656,0.11055276542901993,0.0,332.0,1.7879999999999998e-05,1592
6,5.883825778961182,0.14253562688827515,0.0,260.0,2.085e-05,1333
7,5.407194137573242,0.16282369196414948,0.0,197.0,2.382e-05,2819
8,5.586413383483887,0.13659605383872986,0.0,171.0,2.679e-05,1369
9,5.463189601898193,0.1288004368543625,0.0,212.0,2.9759999999999996e-05,1809
10,5.550368309020996,0.11994355916976929,0.0,166.0,3.273e-05,2126
11,5.189425468444824,0.20137862861156464,0.0,165.0,3.57e-05,2031
12,5.229775905609131,0.18009641766548157,0.0,105.5,3.867e-05,2904
13,5.175832271575928,0.1572580635547638,0.0,130.0,4.163999999999999e-05,744
14,5.281404972076416,0.1411042958498001,0.0,104.5,4.460999999999999e-05,2934
15,4.94706916809082,0.20099255442619324,0.0,69.5,4.7579999999999995e-05,2821
16,4.924417495727539,0.1520131528377533,0.0,92.0,5.054999999999999e-05,2434
17,4.9843316078186035,0.1257108598947525,0.0,141.0,5.351999999999999e-05,3341
18,5.152763366699219,0.12733644247055054,0.0,65.5,5.648999999999998e-05,1712
19,5.364965915679932,0.13883231580257416,0.0,92.5,5.945999999999999e-05,2946
20,4.773227691650391,0.19589364528656006,0.25,53.75,6.242999999999998e-05,2971
21,4.749039173126221,0.17493897676467896,0.0,51.25,6.539999999999999e-05,1229
22,4.857881546020508,0.1527385711669922,0.0,81.0,6.837e-05,3542
23,5.159389019012451,0.1690976470708847,0.0,85.5,7.133999999999999e-05,4045
24,4.706237316131592,0.18284200131893158,0.0,43.75,7.430999999999998e-05,3019
25,5.434762954711914,0.12465526908636093,0.0,46.0,7.727999999999999e-05,1813
26,4.959566116333008,0.16270922124385834,0.0,40.0,8.025e-05,5138
27,5.2157511711120605,0.1317330151796341,0.0,53.25,8.321999999999999e-05,1708
28,4.623339653015137,0.14574898779392242,0.0,62.25,8.618999999999999e-05,4940
29,5.006186008453369,0.12491396814584732,0.0,38.25,8.916e-05,2906
30,5.101560115814209,0.15585960447788239,0.0,35.75,9.213e-05,1681
31,4.587995529174805,0.15966549515724182,0.0,36.25,9.51e-05,5142
32,4.612864017486572,0.167120099067688,0.0,29.25,9.807e-05,2573
33,5.053683280944824,0.1239495798945427,0.0,28.875,0.00010103999999999998,1904
34,4.491552352905273,0.16338515281677246,0.0,27.875,0.00010400999999999999,2895
35,4.503352165222168,0.1713540107011795,0.0,49.75,0.00010697999999999998,3449
36,4.583062171936035,0.19121085107326508,0.25,25.375,0.00010994999999999999,2139
37,4.331851005554199,0.18358778953552246,0.0,42.0,0.00011292,5240
38,4.762049674987793,0.16133567690849304,0.25,31.25,0.00011589,2845
39,4.7375946044921875,0.18636693060398102,0.0,41.75,0.00011885999999999998,2758
40,4.165841102600098,0.23878437280654907,0.0,21.375,0.00012182999999999999,2764
41,4.551752090454102,0.18653126060962677,0.0,36.5,0.0001248,3742
42,4.496799945831299,0.23004059493541718,0.5,35.25,0.00012776999999999998,2956
43,4.681746959686279,0.1095162183046341,0.5,25.375,0.00013073999999999998,1881
44,4.436673164367676,0.14799588918685913,0.0,21.25,0.00013371,2919
45,4.414480686187744,0.15150250494480133,0.25,21.375,0.00013668,2396
46,4.451223373413086,0.18299445509910583,0.0,20.625,0.00013964999999999998,2705
47,4.590198516845703,0.14941176772117615,0.0,23.375,0.00014261999999999999,2550
48,4.335331916809082,0.1571139544248581,0.0,17.375,0.00014559,1483
49,4.587896823883057,0.14250370860099792,0.0,20.625,0.00014855999999999997,2021
50,3.8053760528564453,0.2730318307876587,0.0,24.625,0.00015152999999999998,2388
51,4.023608207702637,0.22198952734470367,0.0,14.875,0.0001545,2865
52,3.9153335094451904,0.2227332442998886,0.0,13.9375,0.00015747,3044
53,4.2448296546936035,0.15592387318611145,0.0,17.125,0.00016043999999999997,1629
54,3.9940831661224365,0.1954365074634552,0.25,16.25,0.00016340999999999998,2016
55,4.004749774932861,0.16671441495418549,0.0,24.875,0.00016638,3491
56,3.9604406356811523,0.22117432951927185,0.0,13.4375,0.00016935,3287
57,4.223827362060547,0.17599186301231384,0.0,17.25,0.00017232,983
58,4.047646999359131,0.2251165360212326,0.0,30.25,0.00017528999999999998,3647
59,4.1406145095825195,0.15223880112171173,0.25,20.125,0.00017826,1340
60,3.911965847015381,0.2155074179172516,0.0,16.875,0.00018122999999999997,1754
61,3.7136709690093994,0.2199999988079071,0.0,13.5625,0.00018419999999999998,1200
62,3.6295530796051025,0.22923408448696136,0.5,11.25,0.00018716999999999999,1854
63,4.153578758239746,0.17699114978313446,0.25,25.25,0.00019014,2712
64,3.730699300765991,0.24934929609298706,1.0,27.0,0.00019310999999999997,1921
65,3.465480327606201,0.3020527958869934,0.75,18.0,0.00019607999999999998,2387
66,3.74688458442688,0.21329279243946075,0.75,24.625,0.00019905,4604
67,4.1833038330078125,0.1759558618068695,0.0,18.625,0.00020202,5257
68,3.737009048461914,0.19761371612548828,0.0,11.875,0.00020499,1341
69,4.073937892913818,0.2017841935157776,0.25,13.875,0.00020795999999999995,2354
70,3.8154473304748535,0.19396881759166718,0.0,17.375,0.00021093,3913
71,3.1130082607269287,0.3925740420818329,1.0,13.75,0.00021389999999999997,2397
72,2.9817872047424316,0.400994211435318,0.75,10.8125,0.00021687,2414
73,3.6531543731689453,0.21409784257411957,0.0,8.4375,0.00021983999999999998,3802
74,3.911388874053955,0.21400626003742218,0.5,13.4375,0.00022281,2556
