track,r1_f1,r2_f1,d_f1,r1_p,r2_p,r1_r,r2_r,p_effect,r_effect,r1_offset_f1,r2_offset_f1,r1_n_pred,r2_n_pred,n_gt,r1_ratio,r2_ratio,r1_trunc,r2_trunc,r1_bnd,r2_bnd,r1_switches,r2_switches,d_switches,r1_inst_f1,r2_inst_f1,duration_s,gt_density_per_s,gt_polyphony_mean,gt_drum_share,gt_median_duration_s
Track01917,0.000683624348420543,0.028757821861270138,0.028074197512849595,0.00039863136564462014,0.0430793777423215,0.002398081534772182,0.02158273381294964,0.015917324347629075,0.01215687316522052,0.0003987808699119833,0.028491545732925044,30103,2507,5004,6.015787370103917,0.5009992006394884,38,0,0,0,9,5,-4,0.000683624348420543,0.028757821861270138,283.85,18.831144394686333,4.194467728415758,0.4954036770583533,0.19999999999998863
Track01930,0.021974572280646684,0.017982322462663822,-0.003992249817982862,0.014272121788772598,0.02727693018955155,0.047738122300522844,0.013412139122527847,0.008447997020390965,-0.012440246838373827,0.02186993146026265,0.016458396830234687,14714,2163,4399,3.3448511025233008,0.4917026596953853,0,0,0,0,3,4,1,0.021974572280646684,0.017982322462663822,333.98,14.081306017925737,2.2250885179565,0.36781086610593317,0.18999999999999773
Track01932,0.005405811247090622,0.00636858166379196,0.0009627704167013374,0.0033401373167563555,0.009775967413441956,0.014167650531286895,0.004722550177095631,0.004309496188046474,-0.0033467257713451367,0.0,0.0,21556,2455,5082,4.24163715072806,0.483077528532074,1,0,0,0,27,1,-26,0.005405811247090622,0.00636858166379196,249.85,21.081888326557703,2.5783866057838662,0.3461235733963007,0.46000000000000085
Track01945,0.00014766141238140942,0.019675240014223064,0.019527578601841653,8.606963033093773e-05,0.012747657809860237,0.0005192107995846313,0.043094496365524405,0.010176782248175666,0.009350796353665989,0.00014766141238140942,0.013511911816996562,23237,13022,3852,6.032450674974039,3.3805815160955346,35,0,0,0,12,8,-4,0.00014766141238140942,0.019675240014223064,203.38,19.81685358575985,1.9317953861584753,0.34215991692627207,0.2400000000000091
Track01948,0.004703668861712135,0.005831510986150162,0.0011278421244380272,0.006117455138662317,0.004932182490752158,0.0038206826286296485,0.007131940906775344,-0.0005760787688833704,0.0017039208933213976,0.0031357792411414237,0.002290950744558992,2452,5677,3926,0.6245542536933265,1.446001018848701,0,1,0,0,5,10,5,0.004703668861712135,0.005831510986150162,257.09,16.468811611225302,2.9189591078066917,0.17193071828833417,0.2600000000000051
Track01950,0.0006287001624142086,0.005004549590536851,0.004375849428122643,0.00040774719673802244,0.004977375565610859,0.0013723696248856359,0.005032021957913998,0.002886500456974404,0.0014893489711482384,0.0006287001624142086,0.0029572338489535946,14715,4420,4372,3.365736505032022,1.010978956999085,0,0,0,0,8,10,2,0.0006287001624142086,0.005004549590536851,237.35,19.762238394431137,5.451371571072319,0.10750228728270814,0.3300000000000054
Track01952,0.0011024598635705918,0.0014614541468761417,0.0003589942833055499,0.0009529481834425253,0.002866698518872432,0.0013076168682576005,0.0009807126511932004,0.000594183542687453,-0.00023518925938190312,0.0005512299317852959,0.0012178784557301183,8395,2093,6118,1.3721804511278195,0.34210526315789475,23,0,21,0,2,0,-2,0.0011024598635705918,0.0014614541468761417,208.86,30.9067946451124,1.4221292422129241,0.15707747629944427,0.06499999999999773
Track01955,0.0,0.0030919446704637922,0.0030919446704637922,0.0,0.002333005893909627,0.0,0.004582730342498794,0.0015459723352318961,0.0015459723352318961,0.0,0.0021155410903173316,7104,8144,4146,1.7134587554269176,1.9643029425952725,37,0,35,0,14,4,-10,0.0,0.0030919446704637922,281.72,15.147418800920684,3.2800632911392404,0.329232995658466,0.2400000000000091
Track01959,0.012913882423605375,0.02132418729495974,0.008410304871354364,0.009798336561467471,0.016121758737316798,0.01893439013650374,0.03148392778511669,0.005440070277344718,0.0029702345940096457,0.0012012913882423605,0.002982403817476886,8777,8870,4542,1.932408630559225,1.9528841919859092,28,0,26,0,8,0,-8,0.012913882423605375,0.02132418729495974,265.6,17.570599613152805,3.582018927444795,0.32606781153676795,0.3000000000000007
Track01962,0.00011237849075686913,0.024050348392897283,0.023937969902140414,8.793527963418924e-05,0.04326728669632026,0.0001556420233463035,0.016653696498054475,0.012036595702019606,0.011901374200120808,0.00011237849075686913,0.02360080917060013,11372,2473,6425,1.7699610894941635,0.38490272373540857,37,0,32,0,6,1,-5,0.00011237849075686913,0.024050348392897283,256.6,25.548751391760778,2.3752310536044363,0.31610894941634243,0.09000000000000341
Track01965,0.00012191405059433101,0.053274321776903534,0.053152407726309206,7.101516173703086e-05,0.04302356367487424,0.00043038519474930065,0.06993759414676134,0.026931383226185053,0.026221024500124153,0.0,0.03491517088763216,28163,7554,4647,6.060469119862277,1.6255648805681084,42,0,0,0,5,1,-4,0.00012191405059433101,0.053274321776903534,230.39,21.301856520742607,2.5146103896103895,0.4478157951366473,0.09000000000000341
Track01972,0.00041209074238147237,0.014248122713561387,0.013836031971179915,0.0002511616225040814,0.016173684977415125,0.0011470520761642578,0.012732278045423262,0.007742802488316792,0.006093229482863122,0.00037088166814332516,0.014248122713561387,39815,6863,8718,4.566987841247992,0.7872218398715302,44,0,0,0,7,3,-4,0.00041209074238147237,0.014248122713561387,325.72,27.194460041175372,3.9305680793507665,0.2905482908924065,0.10999999999999943
Track01973,0.0014526672584940683,0.004510045100451004,0.0030573778419569356,0.0014281180577594415,0.0059994545950368145,0.0014780752176055182,0.003613072754146822,0.0016910478669762406,0.0013663299749806955,0.000807037365830038,0.0024600246002460025,6302,3667,6089,1.0349811134833307,0.6022335358843817,0,0,0,0,10,6,-4,0.0014526672584940683,0.004510045100451004,267.4,24.08623417721519,5.664186046511628,0.2956150435211036,0.4000000000000057
Track01975,0.0,0.0009663169519602431,0.0009663169519602431,0.0,0.0011084718923198734,0.0,0.0008564786492108161,0.00048315847598012155,0.00048315847598012155,0.0,0.0009663169519602431,3524,6315,8173,0.4311758228312737,0.7726660956809005,42,0,40,0,3,18,15,0.0,0.0009663169519602431,263.44,33.47120976328937,5.5826502732240435,0.31249235286920346,0.12999999999999545
Track01978,0.028920502092050212,0.00828533899161362,-0.02063516310043659,0.018496317862647715,0.012137359384251036,0.06626783248964566,0.006289308176100629,-0.004752529383718474,-0.015882633716718116,0.010577405857740587,0.0032333030211175104,23356,3378,6519,3.582758091731861,0.5181776346065348,0,0,0,0,7,0,-7,0.028920502092050212,0.00828533899161362,303.18,22.20065386187168,4.1708253358925145,0.35542261082988186,0.21000000000003638
Track01982,0.0,0.005518998089577584,0.005518998089577584,0.0,0.007869249394673124,0.0,0.004249754821837201,0.002759499044788792,0.002759499044788792,0.0,0.004669921460411802,5964,3304,6118,0.9748283752860412,0.540045766590389,17,0,15,0,8,9,1,0.0,0.005518998089577584,166.97,39.21292142033073,2.4134122287968442,0.28277214776070614,0.01999999999999602
Track01987,0.012569666785248429,0.004697430229345123,-0.007872236555903307,0.007227847669700999,0.005992245329573493,0.048170870256759826,0.0038627584639854577,-0.0011242093458483397,-0.006748027210054967,0.006937033084311633,0.0013815971262779773,29331,2837,4401,6.664621676891615,0.6446262213133379,19,0,1,0,6,1,-5,0.012569666785248429,0.004697430229345123,291.05,15.671960686560787,3.8169991326973114,0.3496932515337423,0.25
Track01990,0.004072461732902682,0.017202619489785943,0.01313015775688326,0.0036699569729182484,0.022616294011822153,0.004574132492113565,0.0138801261829653,0.007467204148953135,0.005662953607930126,0.0005617188597107148,0.008405825432509041,7902,3891,6340,1.246372239747634,0.6137223974763407,0,0,0,0,0,4,4,0.004072461732902682,0.017202619489785943,429.2,14.948246999740645,2.205217391304348,0.36498422712933754,0.10000000000002274
Track01993,0.06164859233933437,0.06370802289169634,0.0020594305523619766,0.04630818619582665,0.0982678214523651,0.09218725035948235,0.047132129733184217,0.025236687705331058,-0.02317725715296908,0.061114375767936324,0.06370802289169634,12460,3002,6259,1.9907333439846622,0.4796293337593865,1,0,0,0,29,1,-28,0.06164859233933437,0.06370802289169634,340.14,19.207635180752472,3.638953488372093,0.6282153698673909,0.020000000000010232
Track01995,0.05912957304484268,0.04035972801052863,-0.018769845034314052,0.03724511027881815,0.0446168768186227,0.1433720464557469,0.0368442130556668,0.006120894550036376,-0.024890739584350428,0.04822859030473202,0.03816626453169555,9612,2062,2497,3.8494193031637964,0.8257909491389668,9,0,7,0,4,5,1,0.05912957304484268,0.04035972801052863,246.41,10.623271644330995,3.41120218579235,0.3780536643972767,0.020000000000010232
Track02001,0.0,0.002814738996929375,0.002814738996929375,0.0,0.005529027393817542,0.0,0.001887925856002746,0.0014073694984646876,0.0014073694984646876,0.0,0.0017911975435005115,10209,3979,11653,0.8760834119969106,0.34145713550158757,58,0,56,0,2,0,-2,0.0,0.002814738996929375,389.99,30.47810848982581,3.352416570771001,0.46194113103921736,0.07999999999998408
Track02004,0.004715745349751113,0.001604492579221821,-0.003111252770529292,0.0027701778385772913,0.00253592561284869,0.01584197144533542,0.001173479366321142,-0.0001939250118016486,-0.002917327758727643,5.821907839198906e-05,0.001604492579221821,29240,2366,5113,5.718756111871699,0.46274203011930376,40,0,3,0,1,0,-1,0.004715745349751113,0.001604492579221821,214.76,24.837268046245022,2.075081168831169,0.2775278701349501,0.25
Track02005,0.003089453728408932,0.022851296043656207,0.019761842315247274,0.0021215043394406945,0.033634538152610444,0.005681818181818182,0.017303719008264464,0.012851822641651705,0.00691001967359557,0.0007021485746383935,0.022510231923601635,10370,1992,3872,2.678202479338843,0.5144628099173554,0,0,0,0,11,2,-9,0.003089453728408932,0.022851296043656207,206.62,19.447513812154696,1.7386618769645263,0.34013429752066116,0.18000000000000682
Track02014,0.0,0.009413979759943516,0.009413979759943516,0.0,0.015117157974300832,0.0,0.00683526999316473,0.004706989879971758,0.004706989879971758,0.0,0.0,5143,2646,5852,0.8788448393711552,0.45215311004784686,42,0,40,0,2,0,-2,0.0,0.009413979759943516,263.0,22.98326918545283,7.8445040214477215,0.1843814080656186,0.37999999999999545
