track,mode,category,value
Track01887,continuous,miss_no_candidate,8681
Track01887,continuous,fp_timing,23964
Track01887,continuous,fp_octave,123
Track01887,continuous,fp_program_swap,117
Track01887,continuous,fp_spurious_near,18377
Track01887,continuous,fp_spurious_far,268
Track01887,continuous,gt_drum,2776
Track01887,continuous,pred_drum,10459
Track01887,continuous,tp_drum,1035
Track01887,continuous,miss_drum,1741
Track01887,continuous,fp_drum,9424
Track01887,continuous,tp_pitched,109
Track01887,continuous,tp_pitched_offset_ok,26
Track01887,continuous,tp_pitched_offset_short,83
Track01887,continuous,tp_pitched_offset_long,0
Track01887,continuous,mean_offset_delta_ticks_pitched,-30.8991
Track01887,continuous,mean_duration_ratio_pitched,0.39225
Track01887,continuous,precision,0.0260041
Track01887,continuous,recall,0.10437
Track01887,continuous,f1,0.0416348
Track01887,continuous,mean_onset_delta_ticks,2.56294
Track01887,continuous,mean_offset_delta_ticks,-3.02622
Track01887,continuous,mean_duration_ratio,0.955404
Track01887,reset,n_gt,10961
Track01887,reset,n_pred,44869
Track01887,reset,tp_onset,750
Track01887,reset,tp_offset_ok,660
Track01887,reset,tp_offset_short,87
Track01887,reset,tp_offset_long,3
Track01887,reset,miss_timing_near,915
Track01887,reset,miss_same_pitch_far,5998
Track01887,reset,miss_octave,147
Track01887,reset,miss_program_swap,19
Track01887,reset,miss_no_candidate,3132
Track01887,reset,fp_timing,25569
Track01887,reset,fp_octave,113
Track01887,reset,fp_program_swap,99
Track01887,reset,fp_spurious_near,18216
Track01887,reset,fp_spurious_far,122
Track01887,reset,gt_drum,2776
Track01887,reset,pred_drum,6766
Track01887,reset,tp_drum,637
Track01887,reset,miss_drum,2139
Track01887,reset,fp_drum,6129
Track01887,reset,tp_pitched,113
Track01887,reset,tp_pitched_offset_ok,23
Track01887,reset,tp_pitched_offset_short,87
Track01887,reset,tp_pitched_offset_long,3
Track01887,reset,mean_offset_delta_ticks_pitched,-36.9912
Track01887,reset,mean_duration_ratio_pitched,0.334414
Track01887,reset,precision,0.0167153
Track01887,reset,recall,0.0684244
Track01887,reset,f1,0.0268673
Track01887,reset,mean_onset_delta_ticks,2.428
Track01887,reset,mean_offset_delta_ticks,-5.73733
Track01887,reset,mean_duration_ratio,0.894324
Track01888,continuous,n_gt,6225
Track01888,continuous,n_pred,13218
Track01888,continuous,tp_onset,353
Track01888,continuous,tp_offset_ok,18
Track01888,continuous,tp_offset_short,335
Track01888,continuous,tp_offset_long,0
Track01888,continuous,miss_timing_near,276
Track01888,continuous,miss_same_pitch_far,608
Track01888,continuous,miss_octave,54
Track01888,continuous,miss_program_swap,29
Track01888,continuous,miss_no_candidate,4905
Track01888,continuous,fp_timing,12849
Track01888,continuous,fp_octave,0
Track01888,continuous,fp_program_swap,0
Track01888,continuous,fp_spurious_near,11
Track01888,continuous,fp_spurious_far,5
Track01888,continuous,gt_drum,2502
Track01888,continuous,pred_drum,3967
Track01888,continuous,tp_drum,217
Track01888,continuous,miss_drum,2285
Track01888,continuous,fp_drum,3750
Track01888,continuous,tp_pitched,136
Track01888,continuous,tp_pitched_offset_ok,16
Track01888,continuous,tp_pitched_offset_short,120
Track01888,continuous,tp_pitched_offset_long,0
Track01888,continuous,mean_offset_delta_ticks_pitched,-53.9632
Track01888,continuous,mean_duration_ratio_pitched,0.242332
Track01888,continuous,precision,0.026706
Track01888,continuous,recall,0.0567068
Track01888,continuous,f1,0.0363113
Track01888,continuous,mean_onset_delta_ticks,2.90368
Track01888,continuous,mean_offset_delta_ticks,-51.6629
Track01888,continuous,mean_duration_ratio,0.112448
Track01888,reset,n_gt,6225
Track01888,reset,n_pred,29403
Track01888,reset,tp_onset,98
Track01888,reset,tp_offset_ok,14
Track01888,reset,tp_offset_short,80
Track01888,reset,tp_offset_long,4
Track01888,reset,miss_timing_near,215
Track01888,reset,miss_same_pitch_far,3354
Track01888,reset,miss_octave,59
Track01888,reset,miss_program_swap,35
Track01888,reset,miss_no_candidate,2464
Track01888,reset,fp_timing,10677
Track01888,reset,fp_octave,158
Track01888,reset,fp_program_swap,139
Track01888,reset,fp_spurious_near,18314
Track01888,reset,fp_spurious_far,17
Track01888,reset,gt_drum,2502
Track01888,reset,pred_drum,5507
Track01888,reset,tp_drum,41
Track01888,reset,miss_drum,2461
Track01888,reset,fp_drum,5466
Track01888,reset,tp_pitched,57
Track01888,reset,tp_pitched_offset_ok,9
Track01888,reset,tp_pitched_offset_short,44
Track01888,reset,tp_pitched_offset_long,4
Track01888,reset,mean_offset_delta_ticks_pitched,-65.0877
Track01888,reset,mean_duration_ratio_pitched,0.74018
Track01888,reset,precision,0.00333299
Track01888,reset,recall,0.015743
Track01888,reset,f1,0.00550129
Track01888,reset,mean_onset_delta_ticks,2.32653
Track01888,reset,mean_offset_delta_ticks,-59.4286
Track01888,reset,mean_duration_ratio,0.446872
Track01889,continuous,n_gt,4089
Track01889,continuous,n_pred,8532
Track01889,continuous,tp_onset,72
Track01889,continuous,tp_offset_ok,72
Track01889,continuous,tp_offset_short,0
Track01889,continuous,tp_offset_long,0
Track01889,continuous,miss_timing_near,71
Track01889,continuous,miss_same_pitch_far,41
Track01889,continuous,miss_octave,8
Track01889,continuous,miss_program_swap,18
Track01889,continuous,miss_no_candidate,3879
Track01889,continuous,fp_timing,1590
Track01889,continuous,fp_octave,11
Track01889,continuous,fp_program_swap,15
Track01889,continuous,fp_spurious_near,6633
Track01889,continuous,fp_spurious_far,211
Track01889,continuous,gt_drum,1610
Track01889,continuous,pred_drum,3390
