track,mode,official_matched,recomputed_matched,official_f1,recomputed_f1,official_n_pred,recomputed_n_pred,official_n_gt,recomputed_n_gt,official_offset_matched,recomputed_offset_matched,official_inst_matched,recomputed_inst_matched
Track01975,reset,146,268,0.010768549933618527,0.01976692727540935,18943,18943,8173,8173,142,248,146,268
Track01978,continuous,41,114,0.00828533899161362,0.023037284025462262,3378,3378,6519,6519,16,35,41,114
Track01978,reset,300,483,0.021132713440405747,0.034023668639053255,21873,21873,6519,6519,118,285,300,483
Track01982,continuous,26,200,0.005518998089577584,0.04245383145828911,3304,3304,6118,6118,22,191,26,200
Track01982,reset,160,247,0.01511001983190103,0.023326093115497215,15060,15060,6118,6118,155,215,160,247
Track01987,continuous,17,29,0.004697430229345123,0.00801326333241227,2837,2837,4401,4401,5,13,17,29
Track01987,reset,127,151,0.009839621910591153,0.011699078019679244,21413,21413,4401,4401,54,66,127,151
Track01990,continuous,88,106,0.017202619489785943,0.020721337112696706,3891,3891,6340,6340,43,60,88,106
Track01990,reset,186,401,0.015557042489126798,0.03353964536634326,17572,17572,6340,6340,123,240,186,401
Track01993,continuous,295,368,0.06370802289169634,0.0794730590648958,3002,3002,6259,6259,295,368,295,368
Track01993,reset,714,902,0.041605967018239036,0.05256103956645883,28063,28063,6259,6259,688,872,714,902
Track01995,continuous,92,107,0.04035972801052863,0.046940118447027855,2062,2062,2497,2497,87,100,92,107
Track01995,reset,287,328,0.03286384976525822,0.03755868544600939,14969,14969,2497,2497,250,287,287,328
Track02001,continuous,22,25,0.002814738996929375,0.0031985670419652,3979,3979,11653,11653,14,14,22,25
Track02001,reset,167,606,0.009436627677007403,0.034243092049499914,23741,23741,11653,11653,148,556,167,606
Track02004,continuous,6,3,0.001604492579221821,0.0008022462896109105,2366,2366,5113,5113,6,3,6,3
Track02004,reset,197,213,0.01531881804043546,0.01656298600311042,20607,20607,5113,5113,197,213,197,213
Track02005,continuous,67,95,0.022851296043656207,0.03240109140518418,1992,1992,3872,3872,66,95,67,95
Track02005,reset,481,544,0.04797047970479706,0.054253515508128056,16182,16182,3872,3872,440,486,481,544
