mode,stratum_type,stratum,n_gt,matched,recall,n_pred,precision,f1
reset,pred_program_group,acoustic_guitar,,,,449465,0.00834548,
reset,pred_program_group,acoustic_piano,,,,105979,0.00557658,
reset,pred_program_group,brass_section,,,,2,0,
reset,pred_program_group,clean_electric_guitar,,,,69447,0.00416145,
reset,pred_program_group,distorted_electric_guitar,,,,930,0,
reset,pred_program_group,drums,,,,272714,0.0648335,
reset,pred_program_group,electric_bass,,,,41950,0.00800954,
reset,pred_program_group,electric_piano,,,,92888,0.00704074,
reset,pred_program_group,flutes,,,,93,0,
reset,pred_program_group,french_horn,,,,713,0,
reset,pred_program_group,string_ensemble,,,,97680,0.00124898,
reset,pred_program_group,synth_strings,,,,15,0,
reset,pred_program_group,tenor_sax,,,,1,0,
reset,pred_program_group,voice,,,,21321,0.000515923,
reset,program_group,acoustic_bass,8447,10,0.00118385,,,
reset,program_group,acoustic_guitar,44307,3751,0.0846593,,,
reset,program_group,acoustic_piano,42326,591,0.013963,,,
reset,program_group,baritone_sax,270,0,0,,,
reset,program_group,brass_section,1803,0,0,,,
reset,program_group,cello,1,0,0,,,
reset,program_group,chromatic_percussion,2680,0,0,,,
reset,program_group,clarinet,540,0,0,,,
reset,program_group,clean_electric_guitar,36646,289,0.00788626,,,
reset,program_group,distorted_electric_guitar,8669,0,0,,,
reset,program_group,drums,113273,17681,0.156092,,,
reset,program_group,electric_bass,20698,336,0.0162335,,,
reset,program_group,electric_piano,26013,654,0.0251413,,,
reset,program_group,english_horn,6,0,0,,,
reset,program_group,flutes,3914,0,0,,,
reset,program_group,french_horn,218,0,0,,,
reset,program_group,orchestral_harp,7,0,0,,,
reset,program_group,organ,6329,0,0,,,
reset,program_group,prog100,105,0,0,,,
reset,program_group,prog101,30,0,0,,,
reset,program_group,singleton_102,30,0,0,,,
reset,program_group,singleton_103,117,0,0,,,
reset,program_group,singleton_104,138,0,0,,,
reset,program_group,singleton_105,40,0,0,,,
reset,program_group,singleton_106,903,0,0,,,
reset,program_group,singleton_108,1106,0,0,,,
reset,program_group,singleton_110,84,0,0,,,
reset,program_group,singleton_114,762,0,0,,,
reset,program_group,singleton_115,768,0,0,,,
reset,program_group,singleton_116,28,0,0,,,
reset,program_group,singleton_118,62,0,0,,,
reset,program_group,singleton_119,5,0,0,,,
reset,program_group,singleton_122,20,0,0,,,
reset,program_group,singleton_123,19,0,0,,,
reset,program_group,singleton_126,29,0,0,,,
reset,program_group,singleton_127,1,0,0,,,
reset,program_group,singleton_98,302,0,0,,,
reset,program_group,singleton_99,793,0,0,,,
reset,program_group,soprano_and_alto_sax,1299,0,0,,,
reset,program_group,string_ensemble,12520,122,0.00974441,,,
reset,program_group,synth_lead,2876,0,0,,,
reset,program_group,synth_pad,5261,0,0,,,
reset,program_group,synth_strings,1158,0,0,,,
reset,program_group,tenor_sax,1089,0,0,,,
reset,program_group,timpani,32,0,0,,,
reset,program_group,trombone,413,0,0,,,
reset,program_group,trumpet,213,0,0,,,
reset,program_group,viola,631,0,0,,,
reset,program_group,violin,728,0,0,,,
reset,program_group,voice,6533,11,0.00168376,,,
reset,register,0-47,116361,16860,0.144894,,,
reset,register,48-59,76462,2110,0.0275954,,,
reset,register,60-71,107157,4233,0.0395028,,,
reset,register,72-108,33403,71,0.00212556,,,
