track,unit,class,chunk_len,pos,orig_tok,new_tok,notes_before,notes_after,notes_lost,notes_added,damage
Track02029,3,program,297,77,1159,1156,50,50,4,4,8
Track02029,3,pitch,297,95,1046,1006,50,50,0,0,0
Track02029,3,pitch,297,25,1085,1015,50,50,0,0,0
Track02029,3,pitch,297,225,1063,1096,50,50,1,1,2
Track02029,3,pitch,297,205,1063,1062,50,50,0,0,0
Track02029,3,pitch,297,208,1056,1024,50,50,0,0,0
Track02029,3,pitch,297,265,1063,1068,50,50,0,0,0
Track02029,3,shift,297,277,471,155,50,50,1,1,2
Track02029,3,shift,297,146,242,700,50,50,0,0,0
Track02029,3,shift,297,146,242,450,50,50,0,0,0
Track02029,3,shift,297,52,93,385,50,50,0,0,0
Track02029,3,shift,297,76,130,305,50,50,1,1,2
Track02029,3,shift,297,203,320,634,50,50,0,0,0
Track02029,3,velocity,297,182,1133,1132,50,49,1,0,1
Track02029,3,velocity,297,113,1133,1132,50,49,1,0,1
Track02029,3,velocity,297,284,1132,1133,50,51,0,1,1
Track02029,3,velocity,297,34,1133,1132,50,49,1,0,1
Track02029,3,velocity,297,109,1132,1133,50,51,0,1,1
Track02029,3,velocity,297,45,1132,1133,50,51,0,1,1
Track02029,3,drum,297,92,1346,1388,50,50,1,1,2
Track02029,3,drum,297,92,1346,1381,50,50,1,1,2
Track02029,3,drum,297,126,1327,1354,50,50,1,1,2
Track02029,3,drum,297,97,1329,1298,50,50,1,1,2
Track02029,3,drum,297,234,1327,1389,50,50,1,1,2
Track02029,3,drum,297,90,1329,1364,50,50,1,1,2
Track01975,0,shift,384,96,184,720,63,63,0,0,0
Track01975,0,shift,384,302,439,453,63,63,0,0,0
Track01975,0,shift,384,281,385,275,63,63,1,1,2
Track01975,0,shift,384,30,68,100,63,63,1,1,2
Track01975,0,shift,384,167,279,906,63,62,1,0,1
Track01975,0,shift,384,50,103,459,63,63,1,1,2
Track01975,0,program,384,258,1135,1162,63,63,0,0,0
Track01975,0,program,384,265,1137,1175,63,63,0,0,0
Track01975,0,program,384,321,1183,1210,63,63,1,1,2
Track01975,0,program,384,227,1135,1158,63,63,3,3,6
Track01975,0,program,384,206,1183,1246,63,63,1,1,2
Track01975,0,program,384,2,1183,1233,63,63,3,3,6
Track01975,0,velocity,384,186,1133,1132,63,62,1,0,1
Track01975,0,velocity,384,276,1133,1132,63,62,1,0,1
Track01975,0,velocity,384,255,1132,1133,63,64,0,1,1
Track01975,0,velocity,384,162,1132,1133,63,64,0,1,1
Track01975,0,velocity,384,117,1133,1132,63,62,1,0,1
Track01975,0,velocity,384,241,1133,1132,63,62,1,0,1
Track01975,0,pitch,384,55,1070,1079,63,63,1,1,2
Track01975,0,pitch,384,40,1063,1087,63,63,0,0,0
Track01975,0,pitch,384,242,1067,1014,63,63,1,1,2
Track01975,0,pitch,384,292,1067,1056,63,63,0,0,0
Track01975,0,pitch,384,301,1070,1009,63,63,1,1,2
Track01975,0,pitch,384,70,1067,1066,63,63,1,1,2
Track01975,1,program,475,143,1135,1178,68,68,0,0,0
Track01975,1,program,475,347,1135,1154,68,68,0,0,0
Track01975,1,program,475,354,1183,1148,68,68,0,0,0
Track01975,1,program,475,136,1183,1211,68,68,1,1,2
Track01975,1,program,475,400,1135,1158,68,68,0,0,0
Track01975,1,program,475,180,1135,1255,68,68,3,3,6
Track01975,1,pitch,475,470,1068,1078,68,68,0,0,0
Track01975,1,pitch,475,201,1056,1048,68,68,1,1,2
Track01975,1,pitch,475,279,1056,1080,68,68,1,1,2
Track01975,1,pitch,475,124,1068,1006,68,68,1,1,2
Track01975,1,pitch,475,58,1070,1126,68,68,0,0,0
Track01975,1,pitch,475,185,1068,1065,68,68,0,0,0
Track01975,1,shift,475,221,238,786,68,67,1,0,1
Track01975,1,shift,475,41,27,86,68,68,1,1,2
Track01975,1,shift,475,132,132,490,68,68,1,1,2
Track01975,1,shift,475,316,344,494,68,68,1,1,2
Track01975,1,shift,475,209,223,941,68,68,0,0,0
Track01975,1,shift,475,80,79,575,68,68,0,0,0
Track01975,1,velocity,475,255,1132,1133,68,69,0,1,1
Track01975,1,velocity,475,226,1133,1132,68,67,1,0,1
Track01975,1,velocity,475,380,1133,1132,68,67,1,0,1
Track01975,1,velocity,475,127,1133,1132,68,67,1,0,1
Track01975,1,velocity,475,452,1133,1132,68,67,1,0,1
Track01975,1,velocity,475,160,1132,1133,68,69,0,1,1
Track01975,2,program,733,428,1135,1203,114,114,4,4,8
Track01975,2,program,733,626,1183,1192,114,114,0,0,0
Track01975,2,program,733,296,1183,1137,114,114,0,0,0
Track01975,2,program,733,327,1135,1242,114,114,3,3,6
Track01975,2,program,733,0,1135,1251,114,114,0,0,0
Track01975,2,program,733,428,1135,1154,114,114,4,4,8
Track01975,2,pitch,733,206,1051,1075,114,114,1,1,2
Track01975,2,pitch,733,215,1070,1017,114,114,1,1,2
Track01975,2,pitch,733,476,1070,1090,114,114,0,0,0
Track01975,2,pitch,733,85,1062,1039,114,114,0,0,0
Track01975,2,pitch,733,170,1058,1088,114,114,0,0,0
Track01975,2,pitch,733,524,1062,1097,114,114,0,0,0
Track01975,2,shift,733,691,479,772,114,113,1,0,1
Track01975,2,shift,733,226,197,110,114,114,1,1,2
Track01975,2,shift,733,447,338,920,114,113,1,0,1
Track01975,2,shift,733,713,490,233,114,114,0,0,0
Track01975,2,shift,733,171,143,40,114,114,0,0,0
Track01975,2,shift,733,105,91,558,114,113,1,0,1
Track01975,2,velocity,733,389,1133,1132,114,113,1,0,1
Track01975,2,velocity,733,260,1132,1133,114,115,0,1,1
Track01975,2,velocity,733,218,1133,1132,114,113,1,0,1
Track01975,2,velocity,733,595,1132,1133,114,115,0,1,1
Track01975,2,velocity,733,324,1132,1133,114,115,0,1,1
Track01975,2,velocity,733,582,1132,1133,114,115,0,1,1
Track01975,2,drum,733,724,1319,1305,114,114,1,1,2
Track01975,2,drum,733,697,1307,1387,114,114,1,1,2
Track01975,2,drum,733,701,1322,1301,114,114,1,1,2
Track01975,2,drum,733,701,1322,1331,114,114,1,1,2
Track01975,2,drum,733,724,1319,1297,114,114,1,1,2
Track01975,3,program,888,876,1135,1256,166,166,0,0,0
Track01975,3,program,888,157,1135,1157,166,166,5,5,10
Track01975,3,program,888,518,1215,1140,166,166,0,0,0
Track01975,3,program,888,309,1135,1192,166,166,0,0,0
Track01975,3,program,888,841,1168,1264,166,166,1,1,2
Track01975,3,program,888,149,1135,1251,166,166,0,0,0
Track01975,3,pitch,888,67,1070,1100,166,166,0,0,0
Track01975,3,pitch,888,746,1060,1118,166,166,0,0,0
Track01975,3,pitch,888,183,1058,1118,166,166,1,1,2
