step,loss,acc,eos_acc,gnorm,lr,n_tok
110,3.060059070587158,0.3174963891506195,0.75,6.125,0.00032973,4841
111,3.0493597984313965,0.3121810555458069,0.5,6.875,0.00033269999999999996,4507
112,2.933422327041626,0.4065449833869934,0.5,9.6875,0.00033567,1589
113,3.202030658721924,0.3195444941520691,1.0,15.3125,0.00033863999999999997,4303
114,2.8360793590545654,0.40210896730422974,0.75,8.875,0.00034161,2845
115,2.9311320781707764,0.34276795387268066,0.75,7.65625,0.00034458,4805
116,2.955051898956299,0.33225980401039124,0.75,6.75,0.0003475499999999999,3726
117,3.4144070148468018,0.22536182403564453,0.75,7.65625,0.00035052,1451
118,3.026979923248291,0.2663847804069519,0.75,6.71875,0.0003534899999999999,1419
119,3.135631799697876,0.2733134925365448,1.0,8.25,0.00035645999999999996,2016
120,2.890667200088501,0.2976653575897217,0.75,5.25,0.00035942999999999994,1542
121,2.9032745361328125,0.298758864402771,0.75,6.59375,0.00036239999999999997,1128
122,2.7546026706695557,0.3023017942905426,0.75,5.84375,0.00036536999999999995,1955
123,3.030181407928467,0.3378545045852661,1.0,9.75,0.00036834,2433
124,2.7644290924072266,0.3340455889701843,1.0,6.78125,0.00037130999999999997,2808
125,2.8269155025482178,0.37870949506759644,1.0,7.5,0.00037428,3673
126,2.5687739849090576,0.39317840337753296,1.0,7.59375,0.00037725,2668
127,2.7392215728759766,0.39263802766799927,1.0,6.03125,0.0003802199999999999,3097
128,2.4902045726776123,0.42487046122550964,1.0,6.09375,0.00038319,2895
129,2.7440152168273926,0.3161486089229584,0.75,6.9375,0.0003861599999999999,1319
130,2.756523370742798,0.3471248149871826,0.75,6.03125,0.00038912999999999996,5704
131,2.4052200317382812,0.46517413854599,0.75,6.09375,0.00039209999999999994,3216
132,2.65891432762146,0.4506283700466156,0.75,6.46875,0.00039506999999999997,2228
133,2.516383409500122,0.46327924728393555,0.0,8.5625,0.00039803999999999995,2342
134,2.694002151489258,0.36306533217430115,0.75,6.96875,0.00040101,1592
135,2.753789186477661,0.35848724842071533,0.5,5.9375,0.00040397999999999996,5685
136,2.620824098587036,0.3768257200717926,0.25,5.09375,0.00040695,2054
137,2.4831981658935547,0.38912856578826904,0.75,6.15625,0.0004099199999999999,5795
138,2.7342169284820557,0.33510473370552063,0.25,4.53125,0.00041289,3199
139,2.7286951541900635,0.3707214295864105,0.5,8.3125,0.00041586,1899
140,2.965437412261963,0.26921170949935913,0.75,6.5625,0.0004188299999999999,2017
141,2.750519037246704,0.3190596103668213,0.5,6.21875,0.00042179999999999995,1191
142,2.145810127258301,0.5057703256607056,0.5,5.6875,0.00042477,3466
143,2.1502068042755127,0.5001828074455261,0.25,6.1875,0.00042774,2735
144,2.0958828926086426,0.526416003704071,0.25,4.75,0.00043070999999999995,2101
