step,loss,acc,eos_acc,gnorm,lr,n_tok
1,7.368712425231934,0.0015122873010113835,0.0,462.0,5.999999999999999e-06,2645
2,7.10487174987793,0.014018691144883633,0.0,684.0,1.194e-05,1070
3,6.641263484954834,0.12168284505605698,0.0,418.0,1.7879999999999998e-05,1545
4,6.406813144683838,0.11851126700639725,0.0,398.0,2.382e-05,1021
5,5.973114013671875,0.1151457205414772,0.0,392.0,2.9759999999999996e-05,2093
6,5.848196506500244,0.14486755430698395,0.0,316.0,3.57e-05,1208
7,5.9458842277526855,0.11502476781606674,0.0,170.0,4.163999999999999e-05,1817
8,5.579054355621338,0.12976224720478058,0.0,161.0,4.7579999999999995e-05,3491
9,5.275606632232666,0.14662332832813263,0.0,124.5,5.351999999999999e-05,2769
10,5.280960559844971,0.14498019218444824,0.0,140.0,5.945999999999999e-05,3028
11,5.422630786895752,0.1195652186870575,0.0,96.5,6.539999999999999e-05,2116
12,5.52688455581665,0.12102706730365753,0.0,66.0,7.133999999999999e-05,7205
13,5.029147624969482,0.13903120160102844,0.0,85.5,7.727999999999999e-05,4294
14,5.447531700134277,0.1392434984445572,0.0,124.5,8.321999999999999e-05,4230
15,4.947000980377197,0.1741071492433548,0.25,76.5,8.916e-05,3136
16,5.435429096221924,0.11618467420339584,0.5,57.0,9.51e-05,1971
17,5.10215425491333,0.1418604701757431,0.25,66.0,0.00010103999999999998,860
18,4.870142459869385,0.16812439262866974,0.0,50.0,0.00010697999999999998,1029
19,4.793467044830322,0.19672943651676178,0.5,48.25,0.00011292,4036
20,5.056606292724609,0.16589057445526123,0.0,37.25,0.00011885999999999998,3436
21,4.618931770324707,0.2149604707956314,0.5,55.75,0.0001248,5187
22,4.818779468536377,0.1729755699634552,0.0,32.0,0.00013073999999999998,2087
23,5.698791980743408,0.09979423880577087,0.25,43.0,0.00013668,1944
24,5.160820960998535,0.1106763556599617,0.25,35.75,0.00014261999999999999,1789
25,4.920087814331055,0.14751914143562317,0.0,32.5,0.00014855999999999997,3003
26,4.972523212432861,0.12981200218200684,0.0,21.0,0.0001545,1117
27,4.625466823577881,0.13338488340377808,0.0,25.375,0.00016043999999999997,5173
28,4.888154029846191,0.12372304499149323,0.5,19.625,0.00016638,1762
29,4.7221574783325195,0.13382624089717865,0.0,23.5,0.00017232,2705
30,4.6809282302856445,0.13681896030902863,0.0,17.0,0.00017826,4093
31,4.840906143188477,0.13112640380859375,0.0,13.75,0.00018419999999999998,2326
32,4.372987270355225,0.1514677107334137,0.0,15.4375,0.00019014,2555
33,4.538095951080322,0.13458110392093658,0.0,14.375,0.00019607999999999998,3366
34,4.921196460723877,0.11468738317489624,0.0,13.75,0.00020202,2703
35,4.432138442993164,0.13945946097373962,0.0,28.375,0.00020795999999999995,2775
36,4.732715606689453,0.12653562426567078,0.0,21.0,0.00021389999999999997,4884
37,4.66534423828125,0.11662478744983673,0.0,17.375,0.00021983999999999998,4776
