step,loss,acc,eos_acc,gnorm,lr,n_tok
74,4.0787129402160645,0.15189872682094574,0.0,11.1875,0.00022281,948
75,4.216142177581787,0.12481572479009628,0.0,11.625,0.00022578,2035
76,4.091690540313721,0.16504688560962677,0.0,9.1875,0.00022875,5865
77,4.10862398147583,0.18417195975780487,0.0,8.4375,0.00023171999999999998,4094
78,4.1897735595703125,0.1410517692565918,0.0,6.65625,0.00023469000000000002,2453
79,4.147859573364258,0.15398773550987244,0.5,6.0,0.00023765999999999997,1630
80,3.856574535369873,0.17482838034629822,0.25,6.4375,0.00024062999999999995,2185
81,4.249790668487549,0.14412811398506165,0.75,8.25,0.00024359999999999999,1686
82,3.9312498569488525,0.16098864376544952,0.5,4.71875,0.00024657,5988
83,4.068563938140869,0.09556548297405243,0.5,7.15625,0.00024953999999999997,2909
84,4.518835544586182,0.11568886041641235,1.0,13.625,0.00025250999999999995,3034
85,4.059643268585205,0.11865035444498062,0.5,5.53125,0.00025548,2697
86,3.9732322692871094,0.1747765690088272,0.0,7.15625,0.00025844999999999997,4028
87,4.0387654304504395,0.12835513055324554,1.0,5.53125,0.00026142,2906
88,4.072283744812012,0.16423264145851135,0.0,4.96875,0.00026439,3903
89,3.727290153503418,0.1827256977558136,0.0,4.9375,0.00026736,2304
90,3.9659788608551025,0.1649048626422882,0.25,4.1875,0.00027033,2365
91,5.403768539428711,0.0,0.0,73.0,0.0002733,8
92,4.490236282348633,0.1501636654138565,0.5,17.875,0.00027627,2444
93,3.9868319034576416,0.1812865436077118,0.0,14.375,0.00027924,2565
94,3.8338165283203125,0.13218122720718384,0.0,6.03125,0.00028220999999999997,2141
95,3.8707127571105957,0.15978354215621948,0.75,6.0625,0.00028517999999999995,3511
96,3.9214718341827393,0.17893511056900024,0.5,6.1875,0.00028815,3437
97,3.94551682472229,0.1779141128063202,0.0,5.53125,0.00029111999999999996,3586
98,4.296813488006592,0.1133333370089531,0.25,7.90625,0.00029409,1500
99,4.079222202301025,0.13818961381912231,0.5,6.6875,0.00029706,1867
100,3.6676857471466064,0.17549407482147217,0.0,5.4375,0.00030002999999999996,3795
101,4.2563982009887695,0.17710049450397491,0.0,52.5,0.000303,1214
102,3.8263797760009766,0.19007670879364014,0.0,4.21875,0.0003059699999999999,4172
103,4.239439964294434,0.16615919768810272,0.0,57.5,0.00030894,2299
104,3.81331467628479,0.17733046412467957,0.0,7.34375,0.00031191,4173
105,3.942512273788452,0.15826702117919922,0.25,7.8125,0.0003148799999999999,1131
106,3.8342642784118652,0.16254545748233795,0.25,5.34375,0.00031785,2750
107,3.8860697746276855,0.17138008773326874,0.0,5.25,0.0003208199999999999,1768
108,3.700835704803467,0.1875,0.0,5.5,0.00032378999999999996,2992
109,4.11395263671875,0.16167664527893066,0.25,3.953125,0.00032675999999999994,2004
110,3.8981032371520996,0.18913857638835907,0.0,46.0,0.00032973,1602
111,3.723925828933716,0.2450171858072281,0.0,10.1875,0.00033269999999999996,2910
112,3.619276523590088,0.19121287763118744,0.0,4.75,0.00033567,1616
113,3.557464122772217,0.16857610642910004,0.0,9.375,0.00033863999999999997,1222
114,3.7071988582611084,0.19809523224830627,0.25,5.625,0.00034161,1575
115,3.384568214416504,0.2513604462146759,0.5,4.625,0.00034458,3859
